ED_CODE,1CITY_CODE
P 040,1
P 032,1
P 180,1
P 170,1
P 010,1
P 031,1
P 201,1
P 020,1
P 202,1
P 191,1
P 192,1
M 022,1
M 021,1
M 030,1
P 101,1
P 102,1
P 052,1
P 060,1
M 010,1
P 092,1
P 051,1
P 110,1
P 162,1
P 161,1
P 180,1
P 091,1
M 040,1
P 070,1
P 150,1
P 142,1
M 050,1
M 060,1
M 072,1
M 071,1
M 080,1
M 090,1
M 073,1
P 141,1
P 082,1
P 130,1
P 122,1
P 121,1
P 081,1
J 140,1
A 080,1
P 083,1
A 012,1
A 020,1
A 092,1
A 093,1
A 011,1
J 080,1
J 132,1
J 112,1
A 030,1
J 131,1
J 102,1
A 061,1
J 101,1
J 120,1
J 111,1
A 062,1
J 062,1
A 151,1
J 090,1
J 061,1
A 091,1
J 052,1
J 051,1
A 070,1
J 070,1
A 040,1
A 100,1
A 051,1
A 052,1
A 152,1
A 112,1
A 131,1
A 113,1
A 053,1
A 221,1
A 120,1
A 111,1
A 132,1
A 140,1
J 041,1
J 042,1
J 031,1
A 211,1
A 193,1
J 032,1
A 212,1
A 222,1
J 021,1
A 230,1
A 213,1
A 191,1
A 022,1
A 192,1
A 240,1
A 171,1
A 200,1
A 252,1
J 011,1
A 262,1
A 251,1
A 261,1
J 012,1
A 270,1
J 013,1
A 292,1
A 172,1
A 293,1
A 291,1
A 180,1
G 220,1
G 192,1
A 281,1
G 191,1
A 282,1
A 313,1
A 300,1
A 311,1
G 210,1
A 312,1
G 231,1
A 321,1
A 331,1
G 241,1
A 322,1
A 332,1
G 242,1
G 255,1
G 202,1
G 254,1
G 232,1
G 161,1
G 201,1
G 253,1
G 252,1
G 251,1
G 173,1
D 140,1
A 341,1
A 350,1
G 263,1
G 162,1
G 262,1
G 171,1
D 081,1
G 172,1
D 082,1
D 050,1
D 152,1
G 142,1
A 342,1
G 182,1
G 181,1
D 040,1
G 261,1
A 360,1
G 141,1
D 161,1
D 151,1
D 162,1
D 132,1
G 183,1
G 131,1
G 021,1
G 011,1
G 022,1
G 041,1
D 071,1
D 072,1
D 131,1
G 013,1
D 120,1
G 030,1
D 100,1
G 012,1
D 090,1
G 042,1
G 132,1
G 152,1
G 100,1
G 080,1
G 070,1
D 063,1
G 091,1
D 062,1
G 050,1
G 110,1
G 150,1
G 120,1
G 092,1
G 130,1
G 060,1
G 161,1
D 111,1
G 140,1
G 085,1
G 151,1
G 061,1
G 162,1
D 021,1
D 012,1
G 101,1
D 011,1
G 091,1
G 064,1
G 083,1
D 061,1
G 064,1
G 092,1
G 012,1
G 082,1
D 112,1
G 084,1
G 033,1
G 062,1
G 020,1
G 041,1
G 031,1
D 013,1
G 102,1
G 032,1
G 043,1
D 022,1
G 065,1
G 042,1
D 030,1
G 051,1
G 081,1
G 063,1
G 111,1
G 066,1
G 112,1
G 055,1
G 121,1
G 052,1
G 113,1
G 123,1
G 054,1
G 122,1
G 053,1
