ED_CODE,1CITY_CODE
W 2,1
W 3,1
W 4,1
W 10,1
W 11,1
W 9,1
W 12,1
W 16,1
W 15,1
W 17,1
W 14,1
W 13,1
W 18,1
W 19,1
W 20,1
W 43,1
W 37,1
W 38,1
W 36,1
W 42,1
W 41,1
W 39,1
W 35,1
W 45,1
W 44,1
W 46,1
W 34,1
W 33,1
W 47,1
W 29,1
W 30,1
W 32,1
W 8,1
W 5,1
C 14,1
C 12,1
C 15,1
C 9,1
C 6,1
C 1,1
C 8,1
C 10,1
C 11,1
C 2,1
C 7,1
C 16,1
C 13,1
C 5,1
C 4,1
C 3,1
C 48,1
C 49,1
C 50,1
C 47,1
C 51,1
C 53,1
C 52,1
C 59,1
C 58,1
C 54,1
C 57,1
C 63,1
C 62,1
C 61,1
C 64,1
C 76,1
C 66,1
C 77,1
C 75,1
C 43,1
C 55,1
C 56,1
C 65,1
C 17,1
C 18,1
C 25,1
C 35,1
C 23,1
C 24,1
C 38,1
C 36,1
C 33,1
C 29,1
C 30,1
C 32,1
C 34,1
C 37,1
C 81,1
C 80,1
C 60,1
C 78,1
C 79,1
C 67,1
C 72,1
C 74,1
C 73,1
C 70,1
C 71,1
C 40,1
C 69,1
C 68,1
C 42,1
C 19,1
C 44,1
W 40,1
W 59,1
W 57,1
W 58,1
C 41,1
E 47,1
E 46,1
E 48,1
C 39,1
E 49,1
E 44,1
E 43,1
E 45,1
E 50,1
E 51,1
E 53,1
E 52,1
E 54,1
E 42,1
E 41,1
E 40,1
C 31,1
E 39,1
E 38,1
E 1,1
E 35,1
E 2,1
E 36,1
E 37,1
E 4,1
E 33,1
E 3,1
E 32,1
E 5,1
E 34,1
E 31,1
E 6,1
E 30,1
E 29,1
E 28,1
E 8,1
E 26,1
E 27,1
E 9,1
E 25,1
E 24,1
E 22,1
E 21,1
E 19,1
E 18,1
E 17,1
E 15,1
E 16,1
E 11,1
E 10,1
E 23,1
E 20,1
E 13,1
E 12,1
E 79,1
E 14,1
E 81,1
E 80,1
C 20,1
C 21,1
C 22,1
C 28,1
C 26,1
C 27,1
E 78,1
E 77,1
E 75,1
E 74,1
E 73,1
E 72,1
E 76,1
E 71,1
E 70,1
E 67,1
E 65,1
E 64,1
E 61,1
E 62,1
E 69,1
E 60,1
E 59,1
E 56,1
E 58,1
E 55,1
E 57,1
E 68,1
E 66,1
E 63,1
W 48,1
W 56,1
W 54,1
W 51,1
W 55,1
W 50,1
W 49,1
W 53,1
W 52,1
W 25,1
W 24,1
W 23,1
W 21,1
W 22,1
W 28,1
W 31,1
W 27,1
W 26,1
W 6,1
W 7,1
E 82,1
E 7,1
E 83,1
C 46,1
C 45,1
W 1,1
WR 32,1
WR 43,1
WR 39,1
WR 42,1
WR 40,1
WR 41,1
WR 44,1
WR 46,1
WR 45,1
WR 47,1
WR 48,1
WR 49,1
WR 38,1
WR 50,1
