ED_CODE,1CITY_CODE
91100,1
911001,1
911002,1
91200,1
91300,1
91400,1
91500,1
91600,1
91700,1
91800,1
91900,1
92100,1
92200,1
92300,1
92400,1
92500,1
92600,1
92700,1
931000,1
931101,1
931102,1
931200,1
931300,1
931400,1
931500,1
931600,1
931700,1
931801,1
931802,1
931900,1
932000,1
932100,1
932200,1
932300,1
932400,1
932500,1
93300,1
93400,1
93500,1
93600,1
93700,1
93800,1
93900,1
941000,1
94101,1
94102,1
941100,1
941200,1
941300,1
94201,1
94202,1
94301,1
94302,1
94401,1
94402,1
94500,1
94601,1
94602,1
94701,1
94702,1
94800,1
94900,1
95100,1
951000,1
951100,1
951200,1
951300,1
951400,1
951500,1
951600,1
951700,1
951800,1
951900,1
95200,1
952000,1
95300,1
95400,1
95500,1
95600,1
95700,1
95800,1
95900,1
96100,1
961000,1
961100,1
961200,1
961300,1
961400,1
961500,1
96200,1
96300,1
96400,1
96500,1
96600,1
96700,1
96800,1
96900,1
97100,1
971000,1
971100,1
971200,1
97200,1
97300,1
97400,1
97500,1
97600,1
97700,1
97800,1
97900,1
